stock_code,sector
471820,기타 식품 제조업
084180,일반 목적용 기계 제조업
253840,의료용품 및 기타 의약 관련제품 제조업
131090,소프트웨어 개발 및 공급업
352700,화학섬유 제조업
359090,"그외 기타 전문, 과학 및 기술 서비스업"
096530,의료용품 및 기타 의약 관련제품 제조업
013990,생활용품 도매업
450950,의료용 기기 제조업
461300,소프트웨어 개발 및 공급업
052860,반도체 제조업
090150,자동차 신품 부품 제조업
131370,소프트웨어 개발 및 공급업
096610,반도체 제조업
148250,전자부품 제조업
092600,반도체 제조업
030960,인쇄 및 인쇄관련 산업
038680,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
288620,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
317830,특수 목적용 기계 제조업
086520,기타산업군
064850,기타 정보 서비스업
173940,창작 및 예술관련 서비스업
083310,특수 목적용 기계 제조업
033310,전자부품 제조업
131030,의약품 제조업
082210,사진장비 및 광학기기 제조업
046940,기반조성 및 시설물 축조관련 전문공사업
053580,소프트웨어 개발 및 공급업
038620,연료 소매업
459100,전자부품 제조업
221800,기타 과학기술 서비스업
179900,전자부품 제조업
123570,광고업
095190,기타 금속 가공제품 제조업
134060,"서적, 잡지 및 기타 인쇄물 출판업"
049070,통신 및 방송 장비 제조업
115310,전기 통신업
126880,일반 목적용 기계 제조업
033340,봉제의복 제조업
208350,소프트웨어 개발 및 공급업
066360,"도축, 육류 가공 및 저장 처리업"
053080,일반 목적용 기계 제조업
046070,자동차 신품 부품 제조업
200130,기초 의약물질 제조업
016600,여신금융
256940,특수 목적용 기계 제조업
053620,기타 금속 가공제품 제조업
054450,반도체 제조업
417790,영상 및 음향기기 제조업
425040,기초 화학물질 제조업
150900,소프트웨어 개발 및 공급업
106240,전구 및 조명장치 제조업
091700,전자부품 제조업
189690,소프트웨어 개발 및 공급업
023900,알코올음료 제조업
053160,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
149980,의료용 기기 제조업
221840,"항공기,우주선 및 부품 제조업"
025550,1차 철강 제조업
037230,"골판지, 종이 상자 및 종이용기 제조업"
079170,1차 비철금속 제조업
076610,사진장비 및 광학기기 제조업
900270,기타산업군
016790,동물용 사료 및 조제식품 제조업
090850,소프트웨어 개발 및 공급업
092300,전자부품 제조업
115160,영상 및 음향기기 제조업
092590,반도체 제조업
001460,봉제의복 제조업
079160,"영화, 비디오물, 방송프로그램 제작 및 배급업"
092780,자동차용 엔진 및 자동차 제조업
114090,유원지 및 기타 오락관련 서비스업
002460,건물 건설업
175330,기타산업군
009440,환경/지주
119650,일반 목적용 기계 제조업
044450,해상 운송업
058860,기타 정보 서비스업
093050,봉제의복 제조업
064400,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
032640,전기 통신업
079550,무기 및 총포탄 제조업
006260,지주회사
229640,기타산업군
108670,플라스틱제품 제조업
023150,알코올음료 제조업
008260,1차 철강 제조업
178920,플라스틱제품 제조업
009160,1차 철강 제조업
001740,기타 전문 도매업
006120,지주회사
009450,가정용 기기 제조업
012610,기초 화학물질 제조업
017040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
004270,기타 전문 도매업
003920,동·식물성 유지 및 낙농제품 제조업
251270,소프트웨어 개발 및 공급업
005250,회사 본부 및 경영 컨설팅 서비스업
019680,초등 교육기관
003220,의약품 제조업
475560,상품 종합 도매업
002210,의약품 제조업
102260,합성고무 및 플라스틱 물질 제조업
170900,의약품 제조업
024900,자동차 신품 부품 제조업
000400,보험업
009580,"펄프, 종이 및 판지 제조업"
033920,알코올음료 제조업
081660,생활용품 도매업
003650,석유 정제품 제조업
100220,"서적, 잡지 및 기타 인쇄물 출판업"
018260,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
068290,"서적, 잡지 및 기타 인쇄물 출판업"
000810,보험업
002170,"가죽, 가방 및 유사제품 제조업"
272550,플라스틱제품 제조업
003720,플라스틱제품 제조업
002450,악기 제조업
005500,의약품 제조업
021050,금속 주조업
014910,전자부품 제조업
336370,전자부품 제조업
026890,신탁업 및 집합투자업
029530,컴퓨터 및 주변장치 제조업
001720,금융 지원 서비스업
267850,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
031820,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
161000,기초 화학물질 제조업
025530,자동차 부품 및 내장품 판매업
001800,지주회사
001200,금융 지원 서비스업
003460,금융 지원 서비스업
034590,연료용 가스 제조 및 배관공급업
129260,도로 화물 운송업
013360,토목 건설업
226320,기타 화학제품 제조업
033240,전자부품 제조업
000950,방적 및 가공사 제조업
001630,의약품 제조업
450140,자동차 판매업
011280,"골판지, 종이 상자 및 종이용기 제조업"
214420,기타 화학제품 제조업
036580,"곡물가공품, 전분 및 전분제품 제조업"
086790,기타산업군
000140,기타산업군
005430,기타 운송관련 서비스업
015760,전기업
004960,건물 건설업
051600,전기 및 통신 공사업
009460,"펄프, 종이 및 판지 제조업"
000370,보험업
009830,기초 화학물질 제조업
003530,금융 지원 서비스업
195870,전자부품 제조업
069960,종합 소매업
005380,자동차용 엔진 및 자동차 제조업
010690,자동차 신품 부품 제조업
010660,특수 목적용 기계 제조업
016580,의약품 제조업
298040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
035760,텔레비전 방송업
068790,특수 목적용 기계 제조업
037370,기초 화학물질 제조업
111870,영상 및 음향기기 제조업
058400,텔레비전 방송업
101000,특수 목적용 기계 제조업
086960,소프트웨어 개발 및 공급업
053290,"서적, 잡지 및 기타 인쇄물 출판업"
079940,소프트웨어 개발 및 공급업
039240,1차 철강 제조업
053270,자동차 신품 부품 제조업
060480,1차 비철금속 제조업
035080,무점포 소매업
282720,전기 및 통신 공사업
420770,특수 목적용 기계 제조업
091970,플라스틱제품 제조업
293580,기타산업군
036800,전기 통신업
085670,전자부품 제조업
020400,금속 주조업
054670,의약품 제조업
023910,의약품 제조업
033500,기초 화학물질 제조업
088130,특수 목적용 기계 제조업
060380,1차 철강 제조업
109860,금속 주조업
005290,기초 화학물질 제조업
113810,자동차 신품 부품 제조업
300120,소프트웨어 개발 및 공급업
041920,의료용 기기 제조업
241770,반도체 제조업
080420,"섬유, 의복, 신발 및 가죽제품 소매업"
080160,여행사 및 기타 여행보조 서비스업
012860,자동차 신품 부품 제조업
199730,자연과학 및 공학 연구개발업
046310,통신 및 방송 장비 제조업
