stock_code,rcept_dt,n_days
014790,2022-02-10,21
014820,2015-02-10,21
014820,2016-02-11,21
014820,2017-02-09,21
014820,2018-02-05,21
014820,2019-02-07,21
014820,2020-02-11,21
014820,2021-02-09,21
014820,2022-02-09,21
014820,2022-03-14,21
014820,2023-02-13,21
014820,2024-02-14,21
014820,2025-02-11,21
014830,2014-02-20,21
014830,2015-02-12,21
014830,2016-02-18,21
014830,2017-02-21,21
014830,2018-02-22,21
014830,2019-02-13,21
014830,2019-12-20,21
014830,2020-02-19,21
014830,2020-12-10,21
014830,2020-12-29,21
014830,2021-12-15,21
014830,2021-12-29,21
014830,2022-12-23,21
014830,2022-12-28,21
014830,2023-02-15,21
014830,2023-12-22,21
014830,2024-02-21,21
014830,2024-12-20,21
014910,2014-02-06,21
014910,2022-02-15,21
014910,2023-03-06,21
014940,2023-02-22,21
014940,2024-02-14,21
014940,2025-02-04,21
014970,2014-03-11,21
014970,2015-03-10,21
014970,2016-03-10,21
014970,2017-03-10,21
014970,2018-03-08,21
014970,2019-03-07,21
014970,2020-03-06,21
014970,2021-03-09,21
014970,2022-03-14,21
014970,2022-04-19,21
014970,2023-03-10,21
014970,2024-03-07,21
014970,2025-03-07,21
015230,2014-02-21,21
015230,2015-02-25,21
015230,2016-02-18,21
015230,2017-02-21,21
015230,2018-02-22,21
015230,2019-02-22,21
015230,2020-02-26,21
015230,2021-02-22,21
015230,2022-02-21,21
015230,2023-02-23,21
015230,2024-02-27,21
015230,2025-02-27,21
015360,2014-02-06,21
015360,2015-02-05,21
015360,2016-02-04,21
015360,2017-02-09,21
015360,2018-02-08,21
015360,2019-02-14,21
015360,2020-03-13,21
015360,2022-02-11,21
015360,2022-03-14,21
015360,2023-02-13,21
015360,2023-04-03,21
015360,2024-02-05,21
015360,2024-04-01,21
015360,2025-02-05,21
015710,2014-03-10,21
015710,2015-03-03,21
015710,2016-02-23,21
015710,2017-02-22,21
015710,2018-02-13,21
015710,2019-02-19,21
015710,2020-02-24,21
015710,2021-02-24,21
015710,2022-02-28,21
015710,2024-02-28,21
015710,2025-02-25,21
015750,2014-03-10,21
015750,2015-02-13,21
015750,2016-02-29,21
015750,2017-02-28,21
015750,2018-02-27,21
015750,2019-02-28,21
015750,2020-02-27,21
015750,2021-02-25,21
015750,2022-02-25,21
015750,2022-04-07,21
015750,2023-02-24,21
015750,2023-04-12,21
015750,2024-02-26,21
015750,2024-04-09,21
015750,2025-02-26,21
015750,2025-04-09,21
015860,2016-03-08,21
015860,2017-03-07,21
015860,2019-03-14,21
015860,2020-03-12,21
015860,2022-03-10,21
015860,2025-03-05,21
015890,2014-02-14,21
015890,2015-02-12,21
015890,2016-02-11,21
015890,2017-02-07,21
015890,2018-02-08,21
015890,2019-02-11,21
015890,2019-08-02,21
015890,2020-02-13,21
015890,2021-02-10,21
015890,2022-02-10,21
015890,2023-02-02,21
015890,2024-01-31,21
015890,2025-02-10,21
016090,2014-02-14,21
016090,2015-02-02,21
016090,2016-02-15,21
016090,2017-02-07,21
016090,2018-02-06,21
016090,2019-02-07,21
016090,2020-02-10,21
016090,2021-02-10,21
016090,2022-02-09,21
016090,2023-02-09,21
016090,2024-02-08,21
016090,2025-02-07,21
016250,2015-01-22,21
016250,2016-01-28,21
016250,2017-01-23,21
016250,2018-02-27,21
016250,2019-02-20,21
016250,2020-02-17,21
016250,2020-12-17,21
016250,2020-12-30,21
016250,2022-02-24,21
016250,2023-02-27,21
016250,2024-03-05,21
016250,2025-03-04,21
016360,2022-01-28,21
016360,2023-01-27,21
016360,2024-01-26,21
016360,2025-01-24,21
016450,2014-02-19,21
016450,2016-02-29,21
016450,2017-03-08,21
016450,2018-02-28,21
016450,2019-02-22,21
016450,2020-03-13,21
016450,2021-02-18,21
016450,2022-02-18,21
016450,2023-02-24,21
016450,2024-02-22,21
016450,2025-02-21,21
016580,2014-02-24,21
016580,2015-02-26,21
016580,2016-02-29,21
016580,2017-02-23,21
016580,2018-02-28,21
016580,2019-02-25,21
016580,2020-02-20,21
016580,2021-02-22,21
016580,2022-02-28,21
016580,2023-03-03,21
016580,2024-02-29,21
016580,2025-02-28,21
016590,2014-03-06,21
016590,2015-03-11,21
016590,2018-03-15,21
016590,2019-03-13,21
016590,2020-03-12,21
016590,2021-03-11,21
016590,2022-03-15,21
016590,2023-03-15,21
016590,2024-03-14,21
016590,2025-03-13,21
016610,2019-03-08,21
016610,2020-03-10,21
016610,2021-03-10,21
016610,2022-03-08,21
016610,2023-03-14,21
016610,2024-03-11,21
016610,2025-03-10,21
016710,2014-02-13,21
016710,2015-02-26,21
016710,2016-02-25,21
016710,2017-02-24,21
016710,2018-02-23,21
016710,2019-02-28,21
016710,2020-03-05,21
016710,2021-02-26,21
016710,2022-03-02,21
016710,2023-02-27,21
016710,2024-02-27,21
016710,2025-02-27,21
016740,2017-03-14,21
016740,2018-02-26,21
016740,2019-02-26,21
016740,2020-02-27,21
016740,2021-02-19,21
016740,2022-02-25,21
016740,2023-02-21,21
016740,2024-02-26,21
016740,2025-02-24,21
016790,2019-02-12,21
016790,2020-02-11,21
016790,2021-02-10,21
016790,2022-02-14,21
016800,2014-02-19,21
016800,2015-02-02,21
016800,2016-02-04,21
016800,2017-02-20,21
016800,2018-03-06,21
016800,2019-02-07,21
016800,2020-02-03,21
016800,2021-02-10,21
016800,2022-02-10,21
016800,2023-02-02,21
016800,2024-02-15,21
016800,2025-02-12,21
016920,2014-03-10,21
016920,2015-03-03,21
016920,2016-02-26,21
016920,2017-02-28,21
016920,2018-02-28,21
016920,2019-02-27,21
016920,2020-02-27,21
016920,2020-04-24,21
016920,2021-02-26,21
016920,2021-04-23,21
016920,2022-02-28,21
016920,2022-04-22,21
016920,2023-02-28,21
016920,2023-04-21,21
016920,2024-02-28,21
016920,2024-04-23,21
016920,2025-02-28,21
017040,2020-02-28,21
017040,2021-02-26,21
017040,2022-02-23,21
017040,2023-02-24,21
017040,2024-02-29,21
017250,2013-11-12,21
017250,2014-11-17,21
017250,2015-11-17,21
017250,2016-11-10,21
017250,2017-11-09,21
017250,2018-11-08,21
017250,2019-11-01,21
017370,2014-02-25,21
017370,2015-02-03,21
017370,2016-02-26,21
017370,2017-02-23,21
017370,2018-02-22,21
017370,2019-02-21,21
017370,2023-02-24,21
017370,2024-02-22,21
017370,2025-02-24,21
017390,2014-02-13,21
017390,2015-02-09,21
017390,2016-02-11,21
017390,2017-02-09,21
017390,2018-02-08,21
017390,2019-02-07,21
017390,2020-02-06,21
017390,2020-10-06,21
017390,2021-02-05,21
017390,2022-02-08,21
017390,2023-02-23,21
017390,2024-02-20,21
017390,2025-02-17,21
017480,2014-02-06,21
017480,2015-01-27,21
017480,2016-01-26,21
017480,2017-01-31,21
017480,2018-01-30,21
017480,2019-01-31,21
017480,2020-01-29,21
017480,2021-01-26,21
017480,2021-07-23,21
017480,2022-01-25,21
017480,2023-01-31,21
017480,2024-01-31,21
017480,2025-01-22,21
017510,2014-02-25,21
017510,2014-12-16,21
017510,2014-12-29,21
017510,2016-02-23,21
017510,2017-02-23,21
017510,2018-02-22,21
017510,2019-02-21,21
017510,2020-02-28,21
017510,2021-02-24,21
017510,2022-02-24,21
017510,2023-02-24,21
017510,2023-04-05,21
017510,2024-02-28,21
017510,2025-02-27,21
017550,2015-03-06,21
017550,2017-02-27,21
017550,2020-02-27,21
017550,2021-02-26,21
017550,2021-03-16,21
017550,2022-03-02,21
017550,2023-03-02,21
017550,2024-02-28,21
017550,2025-02-27,21
017650,2015-02-04,21
017650,2021-02-09,21
017650,2021-12-27,21
017650,2022-03-11,21
017650,2023-02-16,21
017650,2024-02-15,21
017650,2025-02-13,21
017670,2013-07-26,21
017670,2014-02-07,21
017670,2014-07-25,21
017670,2015-02-06,21
017670,2015-07-23,21
017670,2016-02-03,21
017670,2016-07-28,21
017670,2017-02-02,21
017670,2017-07-28,21
017670,2018-02-05,21
017670,2018-07-27,21
017670,2019-01-30,21
017670,2019-07-25,21
017670,2020-02-07,21
017670,2020-07-22,21
017670,2021-02-02,21
017670,2021-07-23,21
017670,2021-11-01,21
017670,2022-02-09,21
017670,2022-04-28,21
017670,2022-07-28,21
017670,2022-10-28,21
017670,2023-02-08,21
017670,2023-04-20,21
017670,2023-07-27,21
017670,2023-10-25,21
017670,2024-02-05,21
017670,2024-04-25,21
017670,2024-07-26,21
017670,2024-10-24,21
017670,2025-02-12,21
017670,2025-04-25,21
017810,2014-02-26,21
017810,2015-02-26,21
017810,2016-02-25,21
017810,2017-02-28,21
017810,2018-02-28,21
017810,2019-02-27,21
017810,2020-02-26,21
017810,2021-02-25,21
017810,2022-02-24,21
017810,2023-02-23,21
017810,2024-02-14,21
017810,2025-02-11,21
017900,2018-03-06,21
017900,2019-03-05,21
017900,2020-03-12,21
017900,2022-03-14,21
017900,2023-03-07,21
017900,2024-03-05,21
017900,2025-03-13,21
017940,2014-02-12,21
017940,2015-02-12,21
017940,2016-02-05,21
017940,2017-02-09,21
017940,2018-02-08,21
017940,2019-01-31,21
017940,2020-02-13,21
017940,2021-02-10,21
017940,2022-02-07,21
017940,2023-02-09,21
017940,2023-07-14,21
017940,2024-02-15,21
017940,2024-07-12,21
017940,2025-02-12,21
017960,2014-03-05,21
017960,2015-03-05,21
017960,2016-02-23,21
017960,2017-02-16,21
017960,2018-02-13,21
017960,2019-02-12,21
