stock_code,rcept_dt,sector,per_share_common,yield_common,total_amount,div_amount_rank,month,is_year_end
8770,2021-01-29,,200.0,0.2,7607742200.0,0.3108108108108108,1,0
8770,2019-01-25,,350.0,0.5,13285781150.0,0.5223880597014925,1,0
8770,2020-01-31,,350.0,0.4,13285781150.0,0.46987951807228917,1,0
8770,2018-01-25,,350.0,0.4,13285781150.0,0.5412371134020618,1,0
8770,2017-01-25,,350.0,0.7,13285781150.0,0.5287356321839081,1,0
8770,2016-01-28,,350.0,0.4,13810781150.0,0.4939759036144578,1,0
8770,2014-01-20,,150.0,0.2,5939903400.0,0.2887323943661972,1,0
8770,2015-01-29,,350.0,0.4,13810781150.0,0.5426829268292683,1,0
8770,2013-01-25,,300.0,0.7,11813166600.0,0.4393939393939394,1,0
171090,2020-02-21,특수 목적용 기계 제조업,100.0,1.3,861502400.0,0.3652173913043478,2,0
171090,2021-02-26,특수 목적용 기계 제조업,100.0,1.43,826029100.0,0.34108527131782945,2,0
171090,2019-03-06,특수 목적용 기계 제조업,100.0,1.4,867469500.0,0.43162393162393164,3,0
36190,2025-02-27,,1400.0,5.5,8268106000.0,0.8865598027127004,2,0
36190,2024-02-29,,1300.0,4.9,7677527000.0,0.8972691807542262,2,0
36190,2023-03-02,,1300.0,4.5,7677527000.0,0.9337349397590361,3,0
36190,2022-03-03,,1300.0,3.9,7677527000.0,0.9226190476190477,3,0
36190,2021-03-04,,1300.0,4.4,7677527000.0,0.9273927392739274,3,0
36190,2020-03-05,,1300.0,4.3,7800000000.0,0.9347826086956522,3,0
36190,2019-03-08,,1300.0,4.3,7800000000.0,0.9316239316239316,3,0
36190,2018-03-08,,900.0,2.1,5400000000.0,0.9156118143459916,3,0
36190,2019-03-07,,1300.0,4.3,7800000000.0,0.9316239316239316,3,0
36190,2017-03-09,,900.0,2.5,5400000000.0,0.8945147679324894,3,0
36190,2016-03-10,,900.0,2.5,5400000000.0,0.9033816425120773,3,0
36190,2015-03-05,,900.0,1.9,5400000000.0,0.92018779342723,3,0
36190,2014-03-04,,900.0,2.7,5400000000.0,0.8939393939393939,3,0
36190,2013-02-15,,600.0,3.0,3480000000.0,0.822992700729927,2,0
103140,2025-02-05,1차 비철금속 제조업,2600.0,5.0,71017122800.0,0.9432799013563502,2,0
103140,2023-02-08,1차 비철금속 제조업,1000.0,3.0,27314278000.0,0.863950276243094,2,0
103140,2024-02-01,1차 비철금속 제조업,1200.0,3.1,32777133600.0,0.8862158647594278,2,0
103140,2022-02-08,1차 비철금속 제조업,1000.0,3.2,28012571000.0,0.844950213371266,2,0
103140,2021-02-08,1차 비철금속 제조업,600.0,2.2,16807542600.0,0.8038759689922481,2,0
103140,2020-02-05,1차 비철금속 제조업,400.0,1.7,11205028400.0,0.7391304347826086,2,0
103140,2019-01-31,1차 비철금속 제조업,600.0,2.2,16807542600.0,0.667910447761194,1,0
103140,2018-02-01,1차 비철금속 제조업,800.0,1.7,22410056800.0,0.8567119155354449,2,0
103140,2017-02-09,1차 비철금속 제조업,700.0,1.7,19608799700.0,0.8435980551053485,2,0
103140,2015-02-17,1차 비철금속 제조업,600.0,2.4,16807542600.0,0.8289719626168224,2,0
103140,2016-02-04,1차 비철금속 제조업,500.0,1.8,14006285500.0,0.7872881355932203,2,0
